,title,title_abs,publish_year,keyword,emb1,emb2,year_cat,year_enc,color_code
140,A Civil Protection Early Warning System to Improve the Resilience of  Adriatic-Ionian Territories to Natural and Man-made Risk,"A Civil Protection Early Warning System to Improve the Resilience of   Adriatic-Ionian Territories to Natural and Man-made Risk  We are currently witnessing an increased occurrence of extreme weather events, causing a great deal of disruption and distress across the globe. In this setting, the importance and utility of Early Warning Systems is becoming increasingly obvious. In this work, we present the design of an early warning system called TransCPEarlyWarning, aimed at seven countries in the Adriatic-Ionian area in Europe. The overall objective is to increase the level of cooperation among national civil protection institutions in these countries, addressing natural and man-made risks from the early warning stage and improving the intervention capabilities of civil protection mechanisms. The system utilizes an innovative approach with a lever effect, while also aiming to support the whole system of Civil Protection. ",2022,typhoon early warning system,3.143402,7.0104017,2020-,6,#5E0897
141,"""Shaking in 5 seconds!"" A Voluntary Smartphone-based Earthquake Early  Warning System","""Shaking in 5 seconds!"" A Voluntary Smartphone-based Earthquake Early   Warning System  Public earthquake early warning systems have the potential to reduce individual risk by warning people of an incoming tremor but their development has been hampered by costly infrastructure. Furthermore, users' understanding of such a service and their reactions to warnings remains poorly studied. The smartphone app of the Earthquake Network initiative turns users' smartphones into motion detectors and provides the first example of purely smartphone-based earthquake early warnings, without the need for dedicated seismic station infrastructure and operating in multiple countries. We demonstrate here that early warnings have been emitted in multiple countries even for damaging shaking levels and so this offers an alternative in the many regions unlikely to be covered by conventional early warning systems in the foreseeable future. We also show that although warnings are understood and appreciated by users, notably to get psychologically prepared, only a fraction take protective actions such as ""drop, cover and hold"". ",2021,typhoon early warning system,5.255776,6.4506927,2020-,6,#5E0897
142,"Real-time Earthquake Early Warning with Deep Learning: Application to  the 2016 Central Apennines, Italy Earthquake Sequence","Real-time Earthquake Early Warning with Deep Learning: Application to   the 2016 Central Apennines, Italy Earthquake Sequence  Earthquake early warning systems are required to report earthquake locations and magnitudes as quickly as possible before the damaging S wave arrival to mitigate seismic hazards. Deep learning techniques provide potential for extracting earthquake source information from full seismic waveforms instead of seismic phase picks. We developed a novel deep learning earthquake early warning system that utilizes fully convolutional networks to simultaneously detect earthquakes and estimate their source parameters from continuous seismic waveform streams. The system determines earthquake location and magnitude as soon as one station receives earthquake signals and evolutionarily improves the solutions by receiving continuous data. We apply the system to the 2016 Mw 6.0 earthquake in Central Apennines, Italy and its subsequent sequence. Earthquake locations and magnitudes can be reliably determined as early as four seconds after the earliest P phase, with mean error ranges of 6.8-3.7 km and 0.31-0.23, respectively. ",2020,typhoon early warning system,5.2871943,6.511113,2020-,6,#5E0897
143,Towards the Development of a Rule-based Drought Early Warning Expert  Systems using Indigenous Knowledge,"Towards the Development of a Rule-based Drought Early Warning Expert   Systems using Indigenous Knowledge  Drought forecasting and prediction is a complicated process due to the complexity and scalability of the environmental parameters involved. Hence, it required a high level of expertise to predict. In this paper, we describe the research and development of a rule-based drought early warning expert systems (RB-DEWES) for forecasting drought using local indigenous knowledge obtained from domain experts. The system generates inference by using rule set and provides drought advisory information with attributed certainty factor (CF) based on the user's input. The system is believed to be the first expert system for drought forecasting to use local indigenous knowledge on drought. The architecture and components such as knowledge base, JESS inference engine and model base of the system and their functions are presented. ",2018,typhoon early warning system,3.5973666,7.206671,2016-2020,5,#7402B1
144,The transformer earthquake alerting model: A new versatile approach to  earthquake early warning,"The transformer earthquake alerting model: A new versatile approach to   earthquake early warning  Earthquakes are major hazards to humans, buildings and infrastructure. Early warning methods aim to provide advance notice of incoming strong shaking to enable preventive action and mitigate seismic risk. Their usefulness depends on accuracy, the relation between true, missed and false alerts, and timeliness, the time between a warning and the arrival of strong shaking. Current approaches suffer from apparent aleatoric uncertainties due to simplified modelling or short warning times. Here we propose a novel early warning method, the deep-learning based transformer earthquake alerting model (TEAM), to mitigate these limitations. TEAM analyzes raw, strong motion waveforms of an arbitrary number of stations at arbitrary locations in real-time, making it easily adaptable to changing seismic networks and warning targets. We evaluate TEAM on two regions with high seismic hazard, Japan and Italy, that are complementary in their seismicity. On both datasets TEAM outperforms existing early warning methods considerably, offering accurate and timely warnings. Using domain adaptation, TEAM even provides reliable alerts for events larger than any in the training data, a property of highest importance as records from very large events are rare in many regions. ",2020,typhoon early warning system,5.2530956,6.5263486,2020-,6,#5E0897
145,A simulation framework for statistical inference on the alerting  capabilities of smartphone-based earthquake early warning systems. With a  case study on the Earthquake Network system in Haiti,"A simulation framework for statistical inference on the alerting   capabilities of smartphone-based earthquake early warning systems. With a   case study on the Earthquake Network system in Haiti  Smartphone-based earthquake early warning systems implemented by citizen science initiatives are characterized by a significant variability in their smartphone network geometry. This has an direct impact on the earthquake detection capability and performance of the system. Here, a simulation framework based on the Monte Carlo method is implemented for making inference on relevant quantities of the earthquake detection such as the detection distance from the epicentre, the detection delay and the warning time for people exposed to high ground shaking levels. The framework is applied to Haiti, which has experienced deadly earthquakes in the past decades, and to the network of the Earthquake Network citizen science initiative, which is popular in the country. It is discovered that relatively low penetrations of the initiative among the population allow to offer a robust early warning service, with warning times up to 12 second for people exposed to intensities between 7.5 and 8.5 of the modified Mercalli scale. ",2022,typhoon early warning system,5.2808642,6.460625,2020-,6,#5E0897
146,Survival modelling of smartphone trigger data for earthquake parameter  estimation in early warning. With applications to 2023 Turkish-Syrian and  2019 Ridgecrest events,"Survival modelling of smartphone trigger data for earthquake parameter   estimation in early warning. With applications to 2023 Turkish-Syrian and   2019 Ridgecrest events  Crowdsourced smartphone-based earthquake early warning systems recently emerged as reliable alternatives to the more expensive solutions based on scientific-grade instruments. For instance, during the 2023 Turkish-Syrian deadly event, the system implemented by the Earthquake Network citizen science initiative provided a forewarning up to 25 seconds. We develop a statistical methodology based on a survival mixture cure model which provides full Bayesian inference on epicentre, depth and origin time, and we design an efficient tempering MCMC algorithm to address multi-modality of the posterior distribution. The methodology is applied to data collected by the Earthquake Network, including the 2023 Turkish-Syrian and 2019 Ridgecrest events. ",2023,typhoon early warning system,4.5832663,6.66151,2020-,6,#5E0897
147,Early warning signal for interior crises in excitable systems,"Early warning signal for interior crises in excitable systems  The ability to reliably predict critical transitions in dynamical systems is a long-standing goal of diverse scientific communities. Previous work focused on early warning signals related to local bifurcations (critical slowing down) and non-bifurcation type transitions. We extend this toolbox and report on a characteristic scaling behavior (critical attractor growth) which is indicative of an impending global bifurcation, an interior crisis in excitable systems. We demonstrate our early warning signal in a conceptual climate model as well as in a model of coupled neurons known to exhibit extreme events. We observed critical attractor growth prior to interior crises of chaotic as well as strange-nonchaotic attractors. These observations promise to extend the classes of transitions that can be predicted via early warning signals. ",2017,typhoon early warning system,5.277716,5.9195886,2016-2020,5,#7402B1
148,An Early Warning System for Bankruptcy Prediction: lessons from the  Venezuelan Bank Crisis,An Early Warning System for Bankruptcy Prediction: lessons from the   Venezuelan Bank Crisis  During 1993-94 Venezuela experienced a severe banking crisis which ended up with 18 commercial banks intervened by the government. Here we develop an early warning system for detecting credit related bankruptcy through discriminant functions developed on financial and macroeconomic data predating the crisis. A robustness test performed on these functions shows high precision in error estimation. The model calibrated on pre-crisis data could detect abnormal financial tension in the late Banco Capital many months before it was intervened and liquidated. ,2007,typhoon early warning system,3.3510811,6.111467,2006-2010,3,#FEF65C
149,SNEWS: The SuperNova Early Warning System,"SNEWS: The SuperNova Early Warning System  World-wide, several detectors currently running or nearing completion are sensitive to a prompt core collapse supernova neutrino signal in the Galaxy. The SNEWS system will be able to provide a robust early warning of a supernova's occurrence to the astronomical community using a coincidence of neutrino signals around the world. This talk describes the nature of the neutrino signal, detection techniques and the motivation for a coincidence alert. It describes the implementation of SNEWS, its current status, and its future, which can include gravitational wave detectors. ",1999,typhoon early warning system,11.118874,6.504406,1996-2000,1,#B2AB10
150,Flood Prediction Using Machine Learning Models,"Flood Prediction Using Machine Learning Models  Floods are one of nature's most catastrophic calamities which cause irreversible and immense damage to human life, agriculture, infrastructure and socio-economic system. Several studies on flood catastrophe management and flood forecasting systems have been conducted. The accurate prediction of the onset and progression of floods in real time is challenging. To estimate water levels and velocities across a large area, it is necessary to combine data with computationally demanding flood propagation models. This paper aims to reduce the extreme risks of this natural disaster and also contributes to policy suggestions by providing a prediction for floods using different machine learning models. This research will use Binary Logistic Regression, K-Nearest Neighbor (KNN), Support Vector Classifier (SVC) and Decision tree Classifier to provide an accurate prediction. With the outcome, a comparative analysis will be conducted to understand which model delivers a better accuracy. ",2022,flooding,4.1629286,6.9495845,2020-,6,#5E0897
151,On Complexity of Flooding Games on Graphs with Interval Representations,"On Complexity of Flooding Games on Graphs with Interval Representations  The flooding games, which are called Flood-It, Mad Virus, or HoneyBee, are a kind of coloring games and they have been becoming popular online. In these games, each player colors one specified cell in his/her turn, and all connected neighbor cells of the same color are also colored by the color. This flooding or coloring spreads on the same color cells. It is natural to consider these new coloring games on more general boards, or general graphs. Recently, computational complexities of the variants of the flooding games on several graph classes have been studied. In this paper, we investigate the flooding games on some graph classes characterized by interval representations. Our results state that the number of colors is a key parameter to determine the computational complexity of the flooding games. When the number of colors is a fixed constant, these games can be solved in polynomial time on an interval graph. On the other hand, if the number of colors is not bounded, the flooding game is NP-complete on a proper interval graph. We also state similar results for split graphs. ",2012,flooding,2.9533195,3.7105772,2011-2015,4,#9100CF
152,Exploiting ConvNet Diversity for Flooding Identification,"Exploiting ConvNet Diversity for Flooding Identification  Flooding is the world's most costly type of natural disaster in terms of both economic losses and human causalities. A first and essential procedure towards flood monitoring is based on identifying the area most vulnerable to flooding, which gives authorities relevant regions to focus. In this work, we propose several methods to perform flooding identification in high-resolution remote sensing images using deep learning. Specifically, some proposed techniques are based upon unique networks, such as dilated and deconvolutional ones, while other was conceived to exploit diversity of distinct networks in order to extract the maximum performance of each classifier. Evaluation of the proposed algorithms were conducted in a high-resolution remote sensing dataset. Results show that the proposed algorithms outperformed several state-of-the-art baselines, providing improvements ranging from 1 to 4% in terms of the Jaccard Index. ",2017,flooding,3.484325,7.8556933,2016-2020,5,#7402B1
153,Numerical Simulations of Polymer Flooding Process in Porous Media on  Distributed-memory Parallel Computers,"Numerical Simulations of Polymer Flooding Process in Porous Media on   Distributed-memory Parallel Computers  Polymer flooding is a mature enhanced oil recovery technique that has been successfully applied in many field projects. By injecting polymer into a reservoir, the viscosity of water is increased, and the efficiency of water flooding is improved. As a result, more oil can be recovered. This paper presents numerical simulations of a polymer flooding process using parallel computers, where the numerical modeling of polymer retention, inaccessible pore volumes, a permeability reduction and polymer absorption are considered. Darcy's law is employed to model the behavoir of a fluid in porous media, and the upstream finite difference (volume) method is applied to discretize the mass conservation equations. Numerical methods, including discretization schemes, linear solver methods, nonlinearization methods and parallel techniques are introduced. Numerical experiments show that, on one hand, computed results match those from the commercial simulator, Schlumberger-Eclipse, which is widely applied by the petroleum industry, and, on the other hand, our simulator has excellent scalability, which is demonstrated by field applications with up to 27 million grid blocks using up to 2048 CPU cores. ",2018,flooding,5.632527,5.135289,2016-2020,5,#7402B1
154,Flood Routing Technique for Data Networks,"Flood Routing Technique for Data Networks  In this paper, a new routing algorithm based on a flooding method is introduced. Flooding techniques have been used previously, e.g. for broadcasting the routing table in the ARPAnet [1] and other special purpose networks [3][4][5]. However, sending data using flooding can often saturate the network [2] and it is usually regarded as an inefficient broadcast mechanism. Our approach is to flood a very short packet to explore an optimal route without relying on a pre-established routing table, and an efficient flood control algorithm to reduce the signalling traffic overhead. This is an inherently robust mechanism in the face of a network configuration change, achieves automatic load sharing across alternative routes and has potential to solve many contemporary routing problems. An earlier version of this mechanism was originally developed for virtual circuit establishment in the experimental Caroline ATM LAN [6][7] at Monash University. ",1998,flooding,2.1650753,5.8896956,1996-2000,1,#B2AB10
155,Local impacts on road networks and access to critical locations during  extreme floods,"Local impacts on road networks and access to critical locations during   extreme floods  Floods affected more than 2 billion people worldwide from 1998 to 2017 and their occurrence is expected to increase due to climate warming, population growth and rapid urbanization. Recent approaches for understanding the resilience of transportation networks when facing floods mostly use the framework of percolation but we show here on a realistic high-resolution flood simulation that it is inadequate. Indeed, the giant connected component is not relevant and instead, we propose to partition the road network in terms of accessibility of local towns and define new measures that characterize the impact of the flooding event. Our analysis allows to identify cities that will be pivotal during the flooding by providing to a large number of individuals critical services such as hospitalization services, food supply, etc. This approach is particularly relevant for practical risk management and will help decision makers for allocating resources in space and time. ",2022,flooding,4.1036963,6.9595823,2020-,6,#5E0897
156,Global Flood Prediction: a Multimodal Machine Learning Approach,"Global Flood Prediction: a Multimodal Machine Learning Approach  Flooding is one of the most destructive and costly natural disasters, and climate changes would further increase risks globally. This work presents a novel multimodal machine learning approach for multi-year global flood risk prediction, combining geographical information and historical natural disaster dataset. Our multimodal framework employs state-of-the-art processing techniques to extract embeddings from each data modality, including text-based geographical data and tabular-based time-series data. Experiments demonstrate that a multimodal approach, that is combining text and statistical data, outperforms a single-modality approach. Our most advanced architecture, employing embeddings extracted using transfer learning upon DistilBert model, achieves 75\%-77\% ROCAUC score in predicting the next 1-5 year flooding event in historically flooded locations. This work demonstrates the potentials of using machine learning for long-term planning in natural disaster management. ",2023,flooding,4.0601277,6.979293,2020-,6,#5E0897
157,Physics Informed Data Driven model for Flood Prediction: Application of  Deep Learning in prediction of urban flood development,"Physics Informed Data Driven model for Flood Prediction: Application of   Deep Learning in prediction of urban flood development  Flash floods in urban areas occur with increasing frequency. Detecting these floods would greatlyhelp alleviate human and economic losses. However, current flood prediction methods are eithertoo slow or too simplified to capture the flood development in details. Using Deep Neural Networks,this work aims at boosting the computational speed of a physics-based 2-D urban flood predictionmethod, governed by the Shallow Water Equation (SWE). Convolutional Neural Networks(CNN)and conditional Generative Adversarial Neural Networks(cGANs) are applied to extract the dy-namics of flood from the data simulated by a Partial Differential Equation(PDE) solver. Theperformance of the data-driven model is evaluated in terms of Mean Squared Error(MSE) andPeak Signal to Noise Ratio(PSNR). The deep learning-based, data-driven flood prediction modelis shown to be able to provide precise real-time predictions of flood development ",2019,flooding,4.337165,6.902153,2016-2020,5,#7402B1
158,"FlowDB a large scale precipitation, river, and flash flood dataset","FlowDB a large scale precipitation, river, and flash flood dataset  Flooding results in 8 billion dollars of damage annually in the US and causes the most deaths of any weather related event. Due to climate change scientists expect more heavy precipitation events in the future. However, no current datasets exist that contain both hourly precipitation and river flow data. We introduce a novel hourly river flow and precipitation dataset and a second subset of flash flood events with damage estimates and injury counts. Using these datasets we create two challenges (1) general stream flow forecasting and (2) flash flood damage estimation. We have created several publicly available benchmarks and an easy to use package. Additionally, in the future we aim to augment our dataset with snow pack data and soil index moisture data to improve predictions. ",2020,flooding,4.158283,7.092652,2020-,6,#5E0897
159,The ecological impact of flooding: a study of tree damage,"The ecological impact of flooding: a study of tree damage  The objective of this research was to identify factors affecting tree damage in the historical Minot flood of 2011. We hypothesized that tree height, identity, origin, and maximum water height affect in the severity of damage sustained by a tree in a flood event. All these factors were significant but highly interactive. The results from this research can influence planting practices in valleys and other flood prone areas to mitigate future damage. ",2015,flooding,3.8425713,6.627114,2016-2020,5,#7402B1
160,Wildfire Prediction to Inform Fire Management: Statistical Science  Challenges,"Wildfire Prediction to Inform Fire Management: Statistical Science   Challenges  Wildfire is an important system process of the earth that occurs across a wide range of spatial and temporal scales. A variety of methods have been used to predict wildfire phenomena during the past century to better our understanding of fire processes and to inform fire and land management decision-making. Statistical methods have an important role in wildfire prediction due to the inherent stochastic nature of fire phenomena at all scales. Predictive models have exploited several sources of data describing fire phenomena. Experimental data are scarce; observational data are dominated by statistics compiled by government fire management agencies, primarily for administrative purposes and increasingly from remote sensing observations. Fires are rare events at many scales. The data describing fire phenomena can be zero-heavy and nonstationary over both space and time. Users of fire modeling methodologies are mainly fire management agencies often working under great time constraints, thus, complex models have to be efficiently estimated. We focus on providing an understanding of some of the information needed for fire management decision-making and of the challenges involved in predicting fire occurrence, growth and frequency at regional, national and global scales. ",2013,wildfire,4.313369,7.0253096,2011-2015,4,#9100CF
161,Image-based Early Detection System for Wildfires,"Image-based Early Detection System for Wildfires  Wildfires are a disastrous phenomenon which cause damage to land, loss of property, air pollution, and even loss of human life. Due to the warmer and drier conditions created by climate change, more severe and uncontrollable wildfires are expected to occur in the coming years. This could lead to a global wildfire crisis and have dire consequences on our planet. Hence, it has become imperative to use technology to help prevent the spread of wildfires. One way to prevent the spread of wildfires before they become too large is to perform early detection i.e, detecting the smoke before the actual fire starts. In this paper, we present our Wildfire Detection and Alert System which use machine learning to detect wildfire smoke with a high degree of accuracy and can send immediate alerts to users. Our technology is currently being used in the USA to monitor data coming in from hundreds of cameras daily. We show that our system has a high true detection rate and a low false detection rate. Our performance evaluation study also shows that on an average our system detects wildfire smoke faster than an actual person. ",2022,wildfire,3.4636755,7.844294,2020-,6,#5E0897
162,Mitigating Greenhouse Gas Emissions Through Generative Adversarial  Networks Based Wildfire Prediction,"Mitigating Greenhouse Gas Emissions Through Generative Adversarial   Networks Based Wildfire Prediction  Over the past decade, the number of wildfire has increased significantly around the world, especially in the State of California. The high-level concentration of greenhouse gas (GHG) emitted by wildfires aggravates global warming that further increases the risk of more fires. Therefore, an accurate prediction of wildfire occurrence greatly helps in preventing large-scale and long-lasting wildfires and reducing the consequent GHG emissions. Various methods have been explored for wildfire risk prediction. However, the complex correlations among a lot of natural and human factors and wildfire ignition make the prediction task very challenging. In this paper, we develop a deep learning based data augmentation approach for wildfire risk prediction. We build a dataset consisting of diverse features responsible for fire ignition and utilize a conditional tabular generative adversarial network to explore the underlying patterns between the target value of risk levels and all involved features. For fair and comprehensive comparisons, we compare our proposed scheme with five other baseline methods where the former outperformed most of them. To corroborate the robustness, we have also tested the performance of our method with another dataset that also resulted in better efficiency. By adopting the proposed method, we can take preventive strategies of wildfire mitigation to reduce global GHG emissions. ",2021,wildfire,4.123949,7.2447534,2020-,6,#5E0897
163,A wildland fire model with data assimilation,"A wildland fire model with data assimilation  A wildfire model is formulated based on balance equations for energy and fuel, where the fuel loss due to combustion corresponds to the fuel reaction rate. The resulting coupled partial differential equations have coefficients that can be approximated from prior measurements of wildfires. An ensemble Kalman filter technique with regularization is then used to assimilate temperatures measured at selected points into running wildfire simulations. The assimilation technique is able to modify the simulations to track the measurements correctly even if the simulations were started with an erroneous ignition location that is quite far away from the correct one. ",2007,wildfire,4.782197,6.6583037,2006-2010,3,#FEF65C
164,A Multimodal Supervised Machine Learning Approach for Satellite-based  Wildfire Identification in Europe,"A Multimodal Supervised Machine Learning Approach for Satellite-based   Wildfire Identification in Europe  The increasing frequency of catastrophic natural events, such as wildfires, calls for the development of rapid and automated wildfire detection systems. In this paper, we propose a wildfire identification solution to improve the accuracy of automated satellite-based hotspot detection systems by leveraging multiple information sources. We cross-reference the thermal anomalies detected by the Moderate-resolution Imaging Spectroradiometer (MODIS) and the Visible Infrared Imaging Radiometer Suite (VIIRS) hotspot services with the European Forest Fire Information System (EFFIS) database to construct a large-scale hotspot dataset for wildfire-related studies in Europe. Then, we propose a novel multimodal supervised machine learning approach to disambiguate hotspot detections, distinguishing between wildfires and other events. Our methodology includes the use of multimodal data sources, such as the ERSI annual Land Use Land Cover (LULC) and the Copernicus Sentinel-3 data. Experimental results demonstrate the effectiveness of our approach in the task of wildfire identification. ",2023,wildfire,3.931474,7.617138,2020-,6,#5E0897
165,Analytical and numerical insights into wildfire dynamics: Exploring the  advection-diffusion-reaction model,"Analytical and numerical insights into wildfire dynamics: Exploring the   advection-diffusion-reaction model  Understanding the dynamics of wildfire is crucial for developing management and intervention strategies. Mathematical and computational models can be used to improve our understanding of wildfire processes and dynamics. This paper presents a systematic study of a widely used advection-diffusion-reaction wildfire model with non-linear coupling. The importance of single mechanisms is discovered by analysing hierarchical sub-models. Numerical simulations provide further insight into the dynamics. As a result, the influence of wind and model parameters such as the bulk density or the heating value on the wildfire propagation speed and the remaining biomass after the burn are assessed. Linearisation techniques for a reduced model provide surprisingly good estimates for the propagation speed in the full model. ",2023,wildfire,5.9689336,6.0140047,2020-,6,#5E0897
166,A Multi-Modal Wildfire Prediction and Personalized Early-Warning System  Based on a Novel Machine Learning Framework,"A Multi-Modal Wildfire Prediction and Personalized Early-Warning System   Based on a Novel Machine Learning Framework  Wildfires are increasingly impacting the environment, human health and safety. Among the top 20 California wildfires, those in 2020-2021 burned more acres than the last century combined. California's 2018 wildfire season caused damages of $148.5 billion. Among millions of impacted people, those living with disabilities (around 15% of the world population) are disproportionately impacted due to inadequate means of alerts. In this project, a multi-modal wildfire prediction and personalized early warning system has been developed based on an advanced machine learning architecture. Sensor data from the Environmental Protection Agency and historical wildfire data from 2012 to 2018 have been compiled to establish a comprehensive wildfire database, the largest of its kind. Next, a novel U-Convolutional-LSTM (Long Short-Term Memory) neural network was designed with a special architecture for extracting key spatial and temporal features from contiguous environmental parameters indicative of impending wildfires. Environmental and meteorological factors were incorporated into the database and classified as leading indicators and trailing indicators, correlated to risks of wildfire conception and propagation respectively. Additionally, geological data was used to provide better wildfire risk assessment. This novel spatio-temporal neural network achieved >97% accuracy vs. around 76% using traditional convolutional neural networks, successfully predicting 2018's five most devastating wildfires 5-14 days in advance. Finally, a personalized early warning system, tailored to individuals with sensory disabilities or respiratory exacerbation conditions, was proposed. This technique would enable fire departments to anticipate and prevent wildfires before they strike and provide early warnings for at-risk individuals for better preparation, thereby saving lives and reducing economic damages. ",2022,wildfire,4.044775,7.5373993,2020-,6,#5E0897
167,Aerial Imagery Pile burn detection using Deep Learning: the FLAME  dataset,"Aerial Imagery Pile burn detection using Deep Learning: the FLAME   dataset  Wildfires are one of the costliest and deadliest natural disasters in the US, causing damage to millions of hectares of forest resources and threatening the lives of people and animals. Of particular importance are risks to firefighters and operational forces, which highlights the need for leveraging technology to minimize danger to people and property. FLAME (Fire Luminosity Airborne-based Machine learning Evaluation) offers a dataset of aerial images of fires along with methods for fire detection and segmentation which can help firefighters and researchers to develop optimal fire management strategies. This paper provides a fire image dataset collected by drones during a prescribed burning piled detritus in an Arizona pine forest. The dataset includes video recordings and thermal heatmaps captured by infrared cameras. The captured videos and images are annotated and labeled frame-wise to help researchers easily apply their fire detection and modeling algorithms. The paper also highlights solutions to two machine learning problems: (1) Binary classification of video frames based on the presence [and absence] of fire flames. An Artificial Neural Network (ANN) method is developed that achieved a 76% classification accuracy. (2) Fire detection using segmentation methods to precisely determine fire borders. A deep learning method is designed based on the U-Net up-sampling and down-sampling approach to extract a fire mask from the video frames. Our FLAME method approached a precision of 92% and a recall of 84%. Future research will expand the technique for free burning broadcast fire using thermal images. ",2020,wildfire,3.8199792,7.8017254,2020-,6,#5E0897
168,Uncertainty Aware Wildfire Management,"Uncertainty Aware Wildfire Management  Recent wildfires in the United States have resulted in loss of life and billions of dollars, destroying countless structures and forests. Fighting wildfires is extremely complex. It is difficult to observe the true state of fires due to smoke and risk associated with ground surveillance. There are limited resources to be deployed over a massive area and the spread of the fire is challenging to predict. This paper proposes a decision-theoretic approach to combat wildfires. We model the resource allocation problem as a partially-observable Markov decision process. We also present a data-driven model that lets us simulate how fires spread as a function of relevant covariates. A major problem in using data-driven models to combat wildfires is the lack of comprehensive data sources that relate fires with relevant covariates. We present an algorithmic approach based on large-scale raster and vector analysis that can be used to create such a dataset. Our data with over 2 million data points is the first open-source dataset that combines existing fire databases with covariates extracted from satellite imagery. Through experiments using real-world wildfire data, we demonstrate that our forecasting model can accurately model the spread of wildfires. Finally, we use simulations to demonstrate that our response strategy can significantly reduce response times compared to baseline methods. ",2020,wildfire,4.3807707,7.2853494,2020-,6,#5E0897
169,Multimodal Wildland Fire Smoke Detection,"Multimodal Wildland Fire Smoke Detection  Research has shown that climate change creates warmer temperatures and drier conditions, leading to longer wildfire seasons and increased wildfire risks in the United States. These factors have in turn led to increases in the frequency, extent, and severity of wildfires in recent years. Given the danger posed by wildland fires to people, property, wildlife, and the environment, there is an urgency to provide tools for effective wildfire management. Early detection of wildfires is essential to minimizing potentially catastrophic destruction. In this paper, we present our work on integrating multiple data sources in SmokeyNet, a deep learning model using spatio-temporal information to detect smoke from wildland fires. Camera image data is integrated with weather sensor measurements and processed by SmokeyNet to create a multimodal wildland fire smoke detection system. We present our results comparing performance in terms of both accuracy and time-to-detection for multimodal data vs. a single data source. With a time-to-detection of only a few minutes, SmokeyNet can serve as an automated early notification system, providing a useful tool in the fight against destructive wildfires. ",2022,wildfire,4.047656,7.689841,2020-,6,#5E0897
170,Artificial intelligence-driven digital twin of a modern house  demonstrated in virtual reality,"Artificial intelligence-driven digital twin of a modern house   demonstrated in virtual reality  A digital twin is a powerful tool that can help monitor and optimize physical assets in real-time. Simply put, it is a virtual representation of a physical asset, enabled through data and simulators, that can be used for a variety of purposes such as prediction, monitoring, and decision-making. However, the concept of digital twin can be vague and difficult to understand, which is why a new concept called ""capability level"" has been introduced. This concept categorizes digital twins based on their capability and defines a scale from zero to five, with each level indicating an increasing level of functionality. These levels are standalone, descriptive, diagnostic, predictive, prescriptive, and autonomous. By understanding the capability level of a digital twin, we can better understand its potential and limitations. To demonstrate the concepts, we use a modern house as an example. The house is equipped with a range of sensors that collect data about its internal state, which can then be used to create digital twins of different capability levels. These digital twins can be visualized in virtual reality, allowing users to interact with and manipulate the virtual environment. The current work not only presents a blueprint for developing digital twins but also suggests future research directions to enhance this technology. Digital twins have the potential to transform the way we monitor and optimize physical assets, and by understanding their capabilities, we can unlock their full potential. ",2022,digital twin,1.8034744,7.2845488,2020-,6,#5E0897
171,"Digital Twin: Values, Challenges and Enablers","Digital Twin: Values, Challenges and Enablers  A digital twin can be defined as an adaptive model of a complex physical system. Recent advances in computational pipelines, multiphysics solvers, artificial intelligence, big data cybernetics, data processing and management tools bring the promise of digital twins and their impact on society closer to reality. Digital twinning is now an important and emerging trend in many applications. Also referred to as a computational megamodel, device shadow, mirrored system, avatar or a synchronized virtual prototype, there can be no doubt that a digital twin plays a transformative role not only in how we design and operate cyber-physical intelligent systems, but also in how we advance the modularity of multi-disciplinary systems to tackle fundamental barriers not addressed by the current, evolutionary modeling practices. In this work, we review the recent status of methodologies and techniques related to the construction of digital twins. Our aim is to provide a detailed coverage of the current challenges and enabling technologies along with recommendations and reflections for various stakeholders. ",2019,digital twin,1.8675663,7.173541,2016-2020,5,#7402B1
172,"Digital Twin: Enabling Technologies, Challenges and Open Research","Digital Twin: Enabling Technologies, Challenges and Open Research  Digital Twin technology is an emerging concept that has become the centre of attention for industry and, in more recent years, academia. The advancements in industry 4.0 concepts have facilitated its growth, particularly in the manufacturing industry. The Digital Twin is defined extensively but is best described as the effortless integration of data between a physical and virtual machine in either direction. The challenges, applications, and enabling technologies for Artificial Intelligence, Internet of Things (IoT) and Digital Twins are presented. A review of publications relating to Digital Twins is performed, producing a categorical review of recent papers. The review has categorised them by research areas: manufacturing, healthcare and smart cities, discussing a range of papers that reflect these areas and the current state of research. The paper provides an assessment of the enabling technologies, challenges and open research for Digital Twins. ",2019,digital twin,1.9249406,7.231192,2016-2020,5,#7402B1
